# The 1,316 of the catalogue's 1,535 species that are present in the
# Kraken 2 index used for the coverage-matched comparison. The other 219
# are GCF accessions whose FASTAs were not available locally when the
# index was built, so reads from them cannot be classified and are
# excluded from read-accuracy comparisons against Kraken 2.
#
# Keyed by species_name, which is pool-independent: the same list masks
# either 100K pool. species_class here is the catalogue index and is NOT
# the same numbering as a pool's species_class column -- join on the name.
species_name	species_class	genus_name
UMGS1094	409	Collinsella
UMGS1095	410	Collinsella
UMGS1096	411	Eubacterium
UMGS11	412	Slackia
UMGS1100	413	Collinsella
UMGS1103	414	Prevotella
UMGS1105	415	Prevotella
UMGS111	416	Megasphaera
UMGS1112	417	Collinsella
UMGS1114	418	Megasphaera
UMGS1117	419	Collinsella
UMGS1118	420	Prevotella
UMGS1119	421	Lachnobacterium
UMGS1120	422	Prevotella
UMGS1121	423	Olsenella
UMGS1127	424	Coprococcus
UMGS1128	425	Akkermansia
UMGS1129	426	Desulfovibrio
UMGS113	427	Campylobacter
UMGS1130	428	Butyricimonas
UMGS1131	429	Collinsella
UMGS1137	430	Parabacteroides
UMGS1138	431	Blautia
UMGS1139	432	Collinsella
UMGS1140	433	Solobacterium
UMGS1141	434	Solobacterium
UMGS1142	435	Eggerthella
UMGS1146	436	Collinsella
UMGS1152	437	Collinsella
UMGS1154	438	Collinsella
UMGS1155	439	Prevotella
UMGS1156	440	Blautia
UMGS1157	441	Eubacterium
UMGS1160	442	Collinsella
UMGS1161	443	Collinsella
UMGS1162	444	Prevotella
UMGS1164	445	Prevotella
UMGS1165	446	Collinsella
UMGS1166	447	Collinsella
UMGS1168	448	Alistipes
UMGS1169	449	Clostridium
UMGS117	450	Sutterella
UMGS1173	451	Collinsella
UMGS1174	452	Collinsella
UMGS118	453	Granulicatella
UMGS1181	454	Megasphaera
UMGS1183	455	Collinsella
UMGS1184	456	Collinsella
UMGS1186	457	Collinsella
UMGS1189	458	Atopobium
UMGS119	459	Blautia
UMGS1190	460	Collinsella
UMGS1196	461	Halomonas
UMGS1197	462	Fusobacterium
UMGS12	463	Sutterella
UMGS120	464	Alistipes
UMGS1200	465	Collinsella
UMGS1201	466	Parabacteroides
UMGS1203	467	Collinsella
UMGS1205	468	Bacteroides
UMGS1207	469	Collinsella
UMGS1208	470	Prevotella
UMGS1209	471	Collinsella
UMGS121	472	Succiniclasticum
UMGS1210	473	Alistipes
UMGS1213	474	Bacteroides
UMGS1219	475	Collinsella
UMGS122	476	Paenibacillus
UMGS1220	477	Collinsella
UMGS1228	478	Succiniclasticum
UMGS1231	479	Veillonella
UMGS1233	480	Anaerofustis
UMGS1235	481	Veillonella
UMGS1236	482	Bacteroides
UMGS1238	483	Clostridium
UMGS1239	484	Lachnobacterium
UMGS1242	485	Collinsella
UMGS1243	486	Ruminococcus
UMGS1244	487	Clostridium
UMGS125	488	Clostridium
UMGS1250	489	Prevotella
UMGS1252	490	Collinsella
UMGS1255	491	Solobacterium
UMGS1256	492	Klebsiella
UMGS1258	493	Eubacterium
UMGS1259	494	Veillonella
UMGS126	495	Oscillibacter
UMGS1260	496	Pelosinus
UMGS1262	497	Collinsella
UMGS1265	498	Bacteroides
UMGS1268	499	Anaerostipes
UMGS1269	500	Eubacterium
UMGS127	501	Eubacterium
UMGS1270	502	Collinsella
UMGS1273	503	Oscillibacter
UMGS1274	504	Collinsella
UMGS1276	505	Prevotella
UMGS1277	506	Collinsella
UMGS1278	507	Collinsella
UMGS128	508	Clostridium
UMGS1280	509	Alistipes
UMGS1282	510	Collinsella
UMGS1285	511	Prevotella
UMGS1286	512	Anaerococcus
UMGS1287	513	Clostridium
UMGS1288	514	Clostridium
UMGS129	515	Clostridium
UMGS1291	516	Veillonella
UMGS1292	517	Alistipes
UMGS1294	518	Prevotella
UMGS13	519	Veillonella
UMGS1300	520	Collinsella
UMGS1306	521	Clostridium
UMGS1308	522	Oscillibacter
UMGS1309	523	Collinsella
UMGS1310	524	Lachnobacterium
UMGS1311	525	Prevotella
UMGS1314	526	Clostridium
UMGS1319	527	Collinsella
UMGS1320	528	Prevotella
UMGS1321	529	Collinsella
UMGS1324	530	Selenomonas
UMGS1325	531	Oscillibacter
UMGS1327	532	Ruminococcus
UMGS1328	533	Butyricicoccus
UMGS1329	534	Marvinbryantia
UMGS1330	535	Desulfovibrio
UMGS1333	536	Collinsella
UMGS1335	537	Dorea
UMGS1336	538	Collinsella
UMGS1339	539	Collinsella
UMGS1340	540	Lachnobacterium
UMGS1341	541	Collinsella
UMGS1342	542	Alistipes
UMGS1347	543	Streptococcus
UMGS1349	544	Collinsella
UMGS1351	545	Roseburia
UMGS1352	546	Bacteroides
UMGS1354	547	Collinsella
UMGS1355	548	Ruminococcus
UMGS1356	549	Clostridium
UMGS1357	550	Blautia
UMGS1359	551	Blautia
UMGS136	552	Ruminococcus
UMGS1360	553	Prevotella
UMGS1362	554	Ruminococcus
UMGS1364	555	Anaerococcus
UMGS1367	556	Enterococcus
UMGS1369	557	Blautia
UMGS1370	558	Clostridium
UMGS1371	559	Eggerthella
UMGS1373	560	Clostridium
UMGS1376	561	Collinsella
UMGS1378	562	Collinsella
UMGS138	563	Clostridium
UMGS1380	564	Collinsella
UMGS1381	565	Eggerthella
UMGS1385	566	Phascolarctobacterium
UMGS1386	567	Collinsella
UMGS1390	568	Prevotella
UMGS1391	569	Solobacterium
UMGS1399	570	Bacteroides
UMGS14	571	Megasphaera
UMGS1401	572	Collinsella
UMGS1403	573	Subdoligranulum
UMGS1404	574	Faecalibacterium
UMGS1405	575	Bifidobacterium
UMGS1406	576	Clostridium
UMGS1409	577	Collinsella
UMGS141	578	Akkermansia
UMGS1413	579	Ruminococcus
UMGS1414	580	Granulicatella
UMGS1415	581	Blautia
UMGS1416	582	Bacteroides
UMGS1417	583	Collinsella
UMGS1419	584	Blautia
UMGS142	585	Campylobacter
UMGS1420	586	Collinsella
UMGS1421	587	Collinsella
UMGS1423	588	Clostridium
UMGS1424	589	Collinsella
UMGS1425	590	Clostridium
UMGS1427	591	Desulfovibrio
UMGS1428	592	Prevotella
UMGS143	593	Blautia
UMGS1430	594	Prevotella
UMGS1431	595	Phascolarctobacterium
UMGS1432	596	Collinsella
UMGS1433	597	Prevotella
UMGS1434	598	Blautia
UMGS1436	599	Blautia
UMGS1437	600	Eubacterium
UMGS1438	601	Clostridium
UMGS1439	602	Collinsella
UMGS144	603	Succinatimonas
UMGS1440	604	Clostridium
UMGS1441	605	Eubacterium
UMGS1442	606	Collinsella
UMGS1443	607	Prevotella
UMGS1444	608	Collinsella
UMGS1448	609	Oscillibacter
UMGS145	610	Prevotella
UMGS1450	611	Bacteroides
UMGS1452	612	Porphyromonas
UMGS1456	613	Phascolarctobacterium
UMGS146	614	Streptococcus
UMGS1462	615	Eubacterium
UMGS1464	616	Prevotella
UMGS1465	617	Collinsella
UMGS1467	618	Lachnobacterium
UMGS1468	619	Solobacterium
UMGS1469	620	Solobacterium
UMGS147	621	Roseburia
UMGS1472	622	Blautia
UMGS1473	623	Bacteroides
UMGS1475	624	Collinsella
UMGS1476	625	Clostridium
UMGS1479	626	Sutterella
UMGS148	627	Azospirillum
UMGS1480	628	Collinsella
UMGS1481	629	Dialister
UMGS1482	630	Collinsella
UMGS1483	631	Collinsella
UMGS1488	632	Eubacterium
UMGS1489	633	Collinsella
UMGS149	634	Azospirillum
UMGS1497	635	Collinsella
UMGS1499	636	Collinsella
UMGS15	637	Catenibacterium
UMGS1500	638	Dialister
UMGS1501	639	Collinsella
UMGS1504	640	Bacteroides
UMGS1505	641	Bacteroides
UMGS1506	642	Veillonella
UMGS1508	643	Collinsella
UMGS151	644	Robinsoniella
UMGS1510	645	Clostridium
UMGS1511	646	Parabacteroides
UMGS1514	647	Parabacteroides
UMGS1516	648	Clostridium
UMGS152	649	Clostridium
UMGS1520	650	Prevotella
UMGS1521	651	Roseburia
UMGS1522	652	Selenomonas
UMGS1524	653	Prevotella
UMGS1525	654	Sutterella
UMGS1526	655	Prevotella
UMGS1527	656	Bifidobacterium
UMGS1529	657	Eubacterium
UMGS1530	658	Collinsella
UMGS1531	659	Clostridium
UMGS1533	660	Roseburia
UMGS1534	661	Bacteroides
UMGS1537	662	Clostridium
UMGS1538	663	Ruminococcus
UMGS1539	664	Veillonella
UMGS1542	665	Collinsella
UMGS1543	666	Clostridium
UMGS1545	667	Collinsella
UMGS1546	668	Collinsella
UMGS1547	669	Veillonella
UMGS1548	670	Actinomyces
UMGS1549	671	Collinsella
UMGS1550	672	Eubacterium
UMGS1552	673	Anaerotignum
UMGS1553	674	Clostridium
UMGS1554	675	Phascolarctobacterium
UMGS1558	676	Collinsella
UMGS1559	677	Alistipes
UMGS156	678	Prevotella
UMGS1560	679	Succinatimonas
UMGS1561	680	Prevotella
UMGS1562	681	Sutterella
UMGS1563	682	Clostridium
UMGS1565	683	Collinsella
UMGS1567	684	Collinsella
UMGS1568	685	Phascolarctobacterium
UMGS1570	686	Clostridium
UMGS1576	687	Clostridium
UMGS1579	688	Sutterella
UMGS158	689	Clostridium
UMGS1580	690	Desulfovibrio
UMGS1581	691	Lachnobacterium
UMGS1582	692	Desulfovibrio
UMGS1584	693	Prevotella
UMGS1586	694	Collinsella
UMGS1587	695	Alistipes
UMGS1589	696	Collinsella
UMGS1594	697	Clostridium
UMGS1595	698	Bacteroides
UMGS1597	699	Collinsella
UMGS1598	700	Prevotella
UMGS16	701	Veillonella
UMGS1601	702	Ruminococcus
UMGS1604	703	Clostridium
UMGS1606	704	Collinsella
UMGS1608	705	Collinsella
UMGS1609	706	Clostridium
UMGS1612	707	Clostridium
UMGS1616	708	Clostridium
UMGS1619	709	Clostridium
UMGS162	710	Alistipes
UMGS1622	711	Blautia
UMGS1624	712	Prevotella
UMGS1625	713	Clostridium
UMGS1627	714	Collinsella
UMGS1629	715	Olsenella
