metric,arm,quantity,estimate,ci95_low,ci95_high
micro,mt_250M,L1_strain,78.12082232444551,73.2310980392157,83.14098821281554
micro,mt_250M,L2_species,46.95582606798367,32.9417614266896,61.83631881399752
micro,mt_250M,L2_far,11.072170865546,5.902842581520383,17.18891408754025
micro,mt_250M,retention_percent,14.173136605707878,7.645213235734363,21.585244668636463
micro,kf_exact13_1L_250M,L1_strain,77.8945041526753,73.00880781437505,83.08106398027255
micro,kf_exact13_1L_250M,L2_species,45.96852641435675,31.477669078359085,61.29677400723458
micro,kf_exact13_1L_250M,L2_far,10.795627483890044,5.870263421222241,16.652524712160655
micro,kf_exact13_1L_250M,retention_percent,13.859292900472578,7.626413234691074,21.008476001591344
micro,kf_exact13_1L_50M,L1_strain,64.94278887146181,57.02916666666667,72.95986331341182
micro,kf_exact13_1L_50M,L2_species,41.61931689046065,27.108275816753853,57.73556149685927
micro,kf_exact13_1L_50M,L2_far,10.078180031480723,5.412122916920578,16.034304451989343
micro,kf_exact13_1L_50M,retention_percent,15.518551338206292,8.451377022035448,23.935494206104234
micro,mt_50M,L1_strain,62.66065958589038,54.66374448529412,70.64982858614025
micro,mt_50M,L2_species,41.536587361473494,27.08996454287645,57.4005796713674
micro,mt_50M,L2_far,11.099129497091077,5.921954202268479,17.120154390125624
micro,mt_50M,retention_percent,17.713074791173,9.62407265117438,26.852271499198398
micro,kf_exact13_16L,L1_strain,55.89006200065264,47.973895173791576,64.18390552190432
micro,kf_exact13_16L,L2_species,35.58551596861733,22.014542995647577,51.37045395102415
micro,kf_exact13_16L,L2_far,8.47457627118644,4.64718686809873,13.192733771406733
micro,kf_exact13_16L,retention_percent,15.162939470504577,8.385296467428182,22.940894067355902
micro,kf_hash13_d128_1L,L1_strain,50.03315824377099,41.900588815789476,58.923622806774674
micro,kf_hash13_d128_1L,L2_species,31.508132039964725,18.370414161512112,46.99775145128
micro,kf_hash13_d128_1L,L2_far,6.568340130966771,3.630368215246825,10.26321189889084
micro,kf_hash13_d128_1L,retention_percent,13.127974250525178,7.355135717304897,19.973399754948943
micro,kf_hash13_d128_16L,L1_strain,44.41309908525353,35.02121666666667,54.292735571485544
micro,kf_hash13_d128_16L,L2_species,29.499895451694137,16.452564687239985,45.16187111552034
micro,kf_hash13_d128_16L,L2_far,6.5509474654538185,3.741720173597782,10.06713834690217
micro,kf_hash13_d128_16L,retention_percent,14.750034562728652,8.57685611140296,22.028227688256916
micro,kf_hash13_d64_16L,L1_strain,39.143569932315074,29.402099999999997,49.65485243746321
micro,kf_hash13_d64_16L,L2_species,28.10894842586616,15.396226940396081,43.41846241587162
micro,kf_hash13_d64_16L,L2_far,6.391804576010296,3.4550289042809235,10.335285304189917
micro,kf_hash13_d64_16L,retention_percent,16.329130396288985,9.099463642395323,25.29107669172228
micro,L29,L1_strain,45.86995652585817,35.15117329545454,57.576478766750576
micro,L29,L2_species,45.76761184395938,33.54672541260148,59.05812110489099
micro,L29,L2_far,22.368707116209094,13.988388235952065,31.76908834821489
micro,L29,retention_percent,48.7654857566722,30.628684713513756,69.37544339510765
micro,nt_v9,L1_strain,41.874124990789376,30.386991666666663,54.41666046164825
micro,nt_v9,L2_species,42.263879923997926,29.46048563778453,56.249887350231226
micro,nt_v9,L2_far,20.790322720908595,12.53220158893354,30.353024243588035
micro,nt_v9,retention_percent,49.649569335434784,30.7122974207499,72.19601291490675
micro,mt_6mer,L1_strain,26.07395867324919,15.697745098039215,37.4795910145878
micro,mt_6mer,L2_species,27.788030582652258,16.225365090576872,40.718265786007514
micro,mt_6mer,L2_far,13.311476550338721,6.993890077451977,21.765475298156332
micro,mt_6mer,retention_percent,51.05276385973468,30.73887130654673,79.97528527766555
macro,mt_250M,L1_strain,78.00991034817768,72.3818173978112,83.64305959167346
macro,mt_250M,L2_species,48.868362407669345,34.66857696662523,64.17951536939404
macro,mt_250M,L2_far,11.076002342388245,6.3915439318584575,16.31091306380466
macro,mt_250M,retention_percent,14.19819904029281,8.217522016622624,20.604432806331467
macro,kf_exact13_1L_250M,L1_strain,77.72276749103482,71.9843035714286,83.41527706877831
macro,kf_exact13_1L_250M,L2_species,48.046271555726996,33.139150211449724,63.66822341698457
macro,kf_exact13_1L_250M,L2_far,11.11248149750664,6.673537375933615,16.167939544719772
macro,kf_exact13_1L_250M,retention_percent,14.297588539662389,8.662900506618808,20.49895068621196
macro,kf_exact13_1L_50M,L1_strain,64.13345870301316,55.96112258547282,72.71803812702699
macro,kf_exact13_1L_50M,L2_species,43.68980355178375,28.48691650415041,60.070849593887964
macro,kf_exact13_1L_50M,L2_far,10.481089938011122,6.051344966558051,15.792984732401807
macro,kf_exact13_1L_50M,retention_percent,16.342623881469674,9.631667895145382,23.889749897676612
macro,mt_50M,L1_strain,61.80272970154157,53.251660537482316,70.71072488677439
macro,mt_50M,L2_species,43.78903526066892,28.664439565385113,60.17660482833998
macro,mt_50M,L2_far,11.213261309066938,6.569012540730578,16.39684146986127
macro,mt_50M,retention_percent,18.143634372167938,10.699587149397704,26.326889876397612
macro,kf_exact13_16L,L1_strain,55.13696148186249,46.73619642857143,64.74344243352907
macro,kf_exact13_16L,L2_species,37.7710638921035,23.51115971239981,53.80264026045462
macro,kf_exact13_16L,L2_far,8.72382204555561,5.289193999028183,12.757288384720825
macro,kf_exact13_16L,retention_percent,15.822094310411616,9.673083357643367,22.692146478022433
macro,kf_hash13_d128_1L,L1_strain,49.482629191490574,41.00638651900904,59.66932061777605
macro,kf_hash13_d128_1L,L2_species,33.89383516923121,19.892286587587336,49.83344966103753
macro,kf_hash13_d128_1L,L2_far,6.930930328498465,4.111599009941725,10.212036224622294
macro,kf_hash13_d128_1L,retention_percent,14.006794791919349,8.358838922230122,20.23595310192234
macro,kf_hash13_d128_16L,L1_strain,43.488325046790386,33.629821428571425,55.0401651040104
macro,kf_hash13_d128_16L,L2_species,31.655952380952385,17.696556319917704,47.7600209770977
macro,kf_hash13_d128_16L,L2_far,6.917373549222526,4.190405117183816,10.044804227732408
macro,kf_hash13_d128_16L,retention_percent,15.906277240569548,9.803179064973401,22.70725609505182
macro,kf_hash13_d64_16L,L1_strain,38.13472082922577,27.53614285714286,50.58624618354692
macro,kf_hash13_d64_16L,L2_species,30.060948166245193,16.38577192183504,45.930574405654845
macro,kf_hash13_d64_16L,L2_far,6.722365826875946,3.878545489624421,10.063983357515138
macro,kf_hash13_d64_16L,retention_percent,17.627940314496925,10.515149637489898,25.828869450035125
macro,L29,L1_strain,45.57982098209822,34.53524880523767,57.97518228072807
macro,L29,L2_species,47.84917213149886,34.28363819774835,61.62623625041075
macro,L29,L2_far,22.301573009213115,14.73637582890299,30.593971067347688
macro,L29,retention_percent,48.92861035582436,32.59947171354226,66.79389990765968
macro,nt_v9,L1_strain,41.39910148157672,29.65836704920491,54.655924837126555
macro,nt_v9,L2_species,44.21196305344821,30.144655361964762,58.944667884645604
macro,nt_v9,L2_far,20.97580627501954,13.432972839135651,29.296507220352026
macro,nt_v9,retention_percent,50.66729838171516,34.07960059044465,69.8274057489579
macro,mt_6mer,L1_strain,25.84749917848928,14.852371008529424,38.708350777934946
macro,mt_6mer,L2_species,29.846613875673278,16.87802600260026,43.98669301215835
macro,mt_6mer,L2_far,13.80646962655449,7.825394093351627,21.057246033394712
macro,mt_6mer,retention_percent,53.4151080969739,36.798649283254335,76.3294333866523
