Staphylococcus	GCF_000007645.1_ASM764v1
Streptococcus	GCF_000348705.1_ASM34870v1
Streptomyces	GCF_000148465.1_Scla_1.0
Subdoligranulum	GCF_025152575.1_ASM2515257v1
Succinatimonas	GCF_963931075.1_metabat2_pooled_hifiasm.1075_MAG
Succiniclasticum	GCF_056977735.1_ASM5697773v1
Sutterella	GCF_003609995.1_ASM360999v1
Treponema	GCF_000008185.1_ASM818v1
Veillonella	GCF_000024945.1_ASM2494v1
Weissella	GCF_000219805.1_ASM21980v1
Xylanibacter	GCF_000025925.1_ASM2592v1
