level	model	n_reads	n_genera	committed_rate	read_acc_all	read_acc_committed	macro_genus_acc
L1_strain	mt_250M	94999	14	1.0	0.7812082232444552	0.7812082232444552	0.7800991034817768
L1_strain	mt_50M	94999	14	1.0	0.6266065958589038	0.6266065958589038	0.6180272970154157
L1_strain	mt_6mer	94999	14	1.0	0.2607395867324919	0.2607395867324919	0.2584749917848928
L1_strain	nt_v9	94999	14	1.0	0.41874124990789374	0.41874124990789374	0.4139910148157672
L1_strain	kraken2	94999	14	0.7785660901693702	0.7601553700565269	0.9763530413855577	0.7520558370122726
L1_strain	nb_13mer	5185	14	1.0	0.5562198649951784	0.5562198649951784	0.5305840015630602
L1_strain	nb_6mer	5185	14	1.0	0.2231436837029894	0.2231436837029894	0.22001910105853167
L1_strain	L29	94999	14	1.0	0.4586995652585817	0.4586995652585817	0.4557982098209822
L2_far	mt_250M	114991	14	1.0	0.11072170865546	0.11072170865546	0.11076002342388244
L2_far	mt_50M	114991	14	1.0	0.11099129497091077	0.11099129497091077	0.11213261309066938
L2_far	mt_6mer	114991	14	1.0	0.13311476550338722	0.13311476550338722	0.1380646962655449
L2_far	nt_v9	114991	14	1.0	0.20790322720908594	0.20790322720908594	0.2097580627501954
L2_far	kraken2	114991	14	0.1022079988868694	0.06503117635293197	0.6362630817663575	0.0643515725582162
L2_far	nb_13mer	3083	14	1.0	0.12358092766785599	0.12358092766785599	0.13334955311632304
L2_far	nb_6mer	3083	14	1.0	0.12001297437560818	0.12001297437560818	0.1154479779122556
L2_far	L29	114991	14	1.0	0.22368707116209094	0.22368707116209094	0.22301573009213116
L2_species	mt_250M	109997	14	1.0	0.46955826067983675	0.46955826067983675	0.4886836240766934
L2_species	mt_50M	109997	14	1.0	0.4153658736147349	0.4153658736147349	0.4378903526066892
L2_species	mt_6mer	109997	14	1.0	0.27788030582652257	0.27788030582652257	0.2984661387567328
L2_species	nt_v9	109997	14	1.0	0.42263879923997927	0.42263879923997927	0.44211963053448206
L2_species	kraken2	109997	14	0.4492213424002473	0.4271571042846623	0.9508833707728735	0.4264955359821697
L2_species	nb_13mer	5374	14	1.0	0.4196129512467436	0.4196129512467436	0.42897975067067246
L2_species	nb_6mer	5374	14	1.0	0.24227763304800892	0.24227763304800892	0.24714664389024263
L2_species	L29	109997	14	1.0	0.4576761184395938	0.4576761184395938	0.4784917213149886
