level	model	genus	n_reads	read_acc	n_training_species_in_genus	mean_max_ani
L1_strain	L29	Anaerosporobacter	5000	0.105	1	95.15999999999998
L1_strain	L29	Bacillus	5000	0.2926	11	97.39999999999999
L1_strain	L29	Bacteroides	9996	0.6808723489395758	79	97.11833333333334
L1_strain	L29	Barnesiella	10000	0.38	3	98.75
L1_strain	L29	Bifidobacterium	5000	0.5886	14	95.04999999999998
L1_strain	L29	Blautia	10000	0.4592	46	98.34
L1_strain	L29	Butyricicoccus	5000	0.4806	7	97.99
L1_strain	L29	Butyricimonas	5000	0.5214	6	98.73
L1_strain	L29	Catenibacterium	5000	0.4972	3	96.84000000000002
L1_strain	L29	Citrobacter	5000	0.239	3	97.14999999999999
L1_strain	L29	Collinsella	5000	0.9592	349	95.02
L1_strain	L29	Desulfovibrio	10000	0.6403	18	96.38500000000002
L1_strain	L29	Dialister	5000	0.6572	17	96.91999999999997
L1_strain	L29	Dorea	9999	0.17391739173917392	7	98.21333333333334
L1_strain	L29	Eggerthella	5000	0.4086	20	98.86
L1_strain	L29	Enterobacter	10000	0.4342	6	98.865
L1_strain	L29	Enterococcus	10000	0.5292	9	97.4575
L1_strain	L29	Eubacterium	5000	0.4576	29	98.93
L1_strain	L29	Faecalibacterium	10000	0.6223	13	97.218
L1_strain	L29	Finegoldia	5000	0.234	3	97.60000000000001
L1_strain	L29	Franconibacter	5000	0.294	1	98.98
L1_strain	L29	Fusobacterium	10000	0.5118	26	97.47
L1_strain	L29	Klebsiella	10000	0.4533	6	97.29
L1_strain	L29	Lachnospira	5000	0.4792	6	95.58000000000003
L1_strain	L29	Lactobacillus	5000	0.6302	25	98.44
L1_strain	L29	Leuconostoc	10000	0.2736	3	97.65499999999997
L1_strain	L29	Listeria	5000	0.1848	1	98.75
L1_strain	L29	Massiliomicrobiota	9999	0.2802280228022802	1	98.30333333333334
L1_strain	L29	Megasphaera	10000	0.5939	13	97.7375
L1_strain	L29	Negativicoccus	5000	0.4522	1	97.59000000000002
L1_strain	L29	Odoribacter	5000	0.3864	7	98.44
L1_strain	L29	Pantoea	5000	0.3988	4	98.89
L1_strain	L29	Parabacteroides	10000	0.2581	16	97.816
L1_strain	L29	Paraprevotella	10000	0.1944	4	98.30000000000003
L1_strain	L29	Pediococcus	5000	0.3342	1	97.34000000000002
L1_strain	L29	Peptoniphilus	10000	0.6179	9	96.60499999999998
L1_strain	L29	Phascolarctobacterium	5000	0.5758	16	98.88
L1_strain	L29	Phyllobacterium	5000	0.2758	1	96.99
L1_strain	L29	Porphyromonas	5000	0.594	12	97.33000000000003
L1_strain	L29	Proteus	5000	0.1506	1	98.97000000000003
L1_strain	L29	Providencia	5000	0.4612	5	98.65999999999998
L1_strain	L29	Ralstonia	5000	0.2862	1	95.71000000000001
L1_strain	L29	Roseburia	10000	0.3441	15	98.705
L1_strain	L29	Ruminococcus	5000	0.7364	64	97.88
L1_strain	L29	Sneathia	5000	0.062	1	98.63
L1_strain	L29	Sutterella	5000	0.5468	28	98.14
L1_strain	L29	Veillonella	9999	0.7493749374937494	22	95.92
L1_strain	L29	Weissella	5000	0.1344	1	97.49
L2_species	mt_250M	Achromobacter	9996	0.21198479391756703	1	85.16857142857143
L2_species	mt_250M	Acidaminococcus	5000	0.6474	7	89.68
L2_species	mt_250M	Acinetobacter	5000	0.1504	4	82.86
L2_species	mt_250M	Actinomyces	9999	0.5166516651665166	18	89.50333333333333
L2_species	mt_250M	Adlercreutzia	5000	0.4166	1	93.93
L2_species	mt_250M	Aeromonas	10000	0.2647	1	87.72375
L2_species	mt_250M	Akkermansia	10000	0.1401	4	83.78
L2_species	mt_250M	Alistipes	5000	0.6128	38	84.67
L2_species	mt_250M	Anaerococcus	10000	0.2614	9	87.802
L2_species	mt_250M	Anaerofustis	5000	0.1224	1	89.73
L2_species	mt_250M	Anaerostipes	5000	0.0326	1	83.5
L2_species	mt_250M	Bacillus	9996	0.48189275710284113	11	91.65571428571428
L2_species	mt_250M	Bacteroides	5000	0.6944	79	88.98
L2_species	mt_250M	Barnesiella	5000	0.2016	3	86.26
L2_species	mt_250M	Blautia	10000	0.585	46	91.22500000000001
L2_species	mt_250M	Butyricimonas	5000	0.6728	6	94.5
L2_species	mt_250M	Campylobacter	5000	0.6298	5	94.01
L2_species	mt_250M	Catenibacterium	5000	0.685	3	94.27
L2_species	mt_250M	Citrobacter	9996	0.5434173669467787	3	90.75166666666668
L2_species	mt_250M	Collinsella	5000	0.9898	349	94.99
L2_species	mt_250M	Coprococcus	5000	0.4516	6	92.97000000000003
L2_species	mt_250M	Edwardsiella	9996	0.14235694277711083	2	85.50666666666667
L2_species	mt_250M	Eggerthella	5000	0.3144	20	89.76
L2_species	mt_250M	Enterobacter	9996	0.6380552220888356	6	89.63666666666667
L2_species	mt_250M	Exiguobacterium	10000	0.3866	2	90.035
L2_species	mt_250M	Faecalibacterium	9999	0.5783578357835784	13	91.87333333333333
L2_species	mt_250M	Franconibacter	10000	0.0965	1	89.24499999999998
L2_species	mt_250M	Fusobacterium	9999	0.7534753475347534	26	93.45666666666666
L2_species	mt_250M	Gemella	5000	0.2212	1	93.46000000000001
L2_species	mt_250M	Granulicatella	5000	0.2948	3	90.45000000000002
L2_species	mt_250M	Helicobacter	5000	0.3672	9	82.08
L2_species	mt_250M	Klebsiella	9999	0.3842384238423842	6	85.99
L2_species	mt_250M	Lactobacillus	9999	0.46114611461146116	25	86.75333333333336
L2_species	mt_250M	Leuconostoc	10000	0.5065	3	93.345
L2_species	mt_250M	Listeria	10000	0.1455	1	87.108
L2_species	mt_250M	Marvinbryantia	5000	0.1018	1	87.41999999999997
L2_species	mt_250M	Massiliomicrobiota	5000	0.1024	1	87.14
L2_species	mt_250M	Megasphaera	5000	0.6468	13	90.49
L2_species	mt_250M	Morganella	5000	0.5388	1	93.73
L2_species	mt_250M	Neisseria	5000	0.599	1	93.47000000000003
L2_species	mt_250M	Oscillibacter	5000	0.4646	15	88.77999999999997
L2_species	mt_250M	Pantoea	9999	0.30603060306030605	4	88.72666666666666
L2_species	mt_250M	Parabacteroides	5000	0.4384	16	87.88
L2_species	mt_250M	Phyllobacterium	10000	0.0983	1	83.71
L2_species	mt_250M	Porphyromonas	5000	0.872	12	94.85000000000001
L2_species	mt_250M	Proteus	9996	0.09033613445378151	1	84.08857142857143
L2_species	mt_250M	Providencia	10000	0.4461	5	88.245
L2_species	mt_250M	Pseudomonas	5000	0.4514	4	84.37
L2_species	mt_250M	Ralstonia	9996	0.18577430972388956	1	86.44285714285715
L2_species	mt_250M	Rothia	5000	0.15	1	87.33000000000003
L2_species	mt_250M	Sanguibacteroides	5000	0.176	1	88.14
L2_species	mt_250M	Solobacterium	5000	0.2628	36	91.52
L2_species	mt_250M	Staphylococcus	5000	0.736	5	94.64
L2_species	mt_250M	Streptococcus	10000	0.4249	21	89.08
L2_species	mt_250M	Subdoligranulum	5000	0.0726	3	87.14
L2_species	mt_250M	Veillonella	9999	0.9401940194019401	22	94.74
L2_species	mt_250M	Weissella	5000	0.0914	1	83.79
L2_species	mt_50M	Achromobacter	9996	0.08773509403761505	1	85.16857142857143
L2_species	mt_50M	Acidaminococcus	5000	0.6264	7	89.68
L2_species	mt_50M	Acinetobacter	5000	0.1626	4	82.86
L2_species	mt_50M	Actinomyces	9999	0.43204320432043203	18	89.50333333333333
L2_species	mt_50M	Adlercreutzia	5000	0.316	1	93.93
L2_species	mt_50M	Aeromonas	10000	0.1409	1	87.72375
L2_species	mt_50M	Akkermansia	10000	0.1457	4	83.78
L2_species	mt_50M	Alistipes	5000	0.578	38	84.67
L2_species	mt_50M	Anaerococcus	10000	0.3054	9	87.802
L2_species	mt_50M	Anaerofustis	5000	0.1328	1	89.73
L2_species	mt_50M	Anaerostipes	5000	0.028	1	83.5
L2_species	mt_50M	Bacillus	9996	0.20858343337334934	11	91.65571428571428
L2_species	mt_50M	Bacteroides	5000	0.6096	79	88.98
L2_species	mt_50M	Barnesiella	5000	0.308	3	86.26
L2_species	mt_50M	Blautia	10000	0.4957	46	91.22500000000001
L2_species	mt_50M	Butyricimonas	5000	0.5456	6	94.5
L2_species	mt_50M	Campylobacter	5000	0.649	5	94.01
L2_species	mt_50M	Catenibacterium	5000	0.6868	3	94.27
L2_species	mt_50M	Citrobacter	9996	0.35194077631052423	3	90.75166666666668
L2_species	mt_50M	Collinsella	5000	0.987	349	94.99
L2_species	mt_50M	Coprococcus	5000	0.424	6	92.97000000000003
L2_species	mt_50M	Edwardsiella	9996	0.10474189675870348	2	85.50666666666667
L2_species	mt_50M	Eggerthella	5000	0.2278	20	89.76
L2_species	mt_50M	Enterobacter	9996	0.4339735894357743	6	89.63666666666667
L2_species	mt_50M	Exiguobacterium	10000	0.3106	2	90.035
L2_species	mt_50M	Faecalibacterium	9999	0.5489548954895489	13	91.87333333333333
L2_species	mt_50M	Franconibacter	10000	0.0435	1	89.24499999999998
L2_species	mt_50M	Fusobacterium	9999	0.7094709470947095	26	93.45666666666666
L2_species	mt_50M	Gemella	5000	0.1916	1	93.46000000000001
L2_species	mt_50M	Granulicatella	5000	0.3028	3	90.45000000000002
L2_species	mt_50M	Helicobacter	5000	0.4516	9	82.08
L2_species	mt_50M	Klebsiella	9999	0.2881288128812881	6	85.99
L2_species	mt_50M	Lactobacillus	9999	0.46784678467846785	25	86.75333333333336
L2_species	mt_50M	Leuconostoc	10000	0.3818	3	93.345
L2_species	mt_50M	Listeria	10000	0.1057	1	87.108
L2_species	mt_50M	Marvinbryantia	5000	0.049	1	87.41999999999997
L2_species	mt_50M	Massiliomicrobiota	5000	0.0506	1	87.14
L2_species	mt_50M	Megasphaera	5000	0.6072	13	90.49
L2_species	mt_50M	Morganella	5000	0.3082	1	93.73
L2_species	mt_50M	Neisseria	5000	0.4504	1	93.47000000000003
L2_species	mt_50M	Oscillibacter	5000	0.4662	15	88.77999999999997
L2_species	mt_50M	Pantoea	9999	0.2542254225422542	4	88.72666666666666
L2_species	mt_50M	Parabacteroides	5000	0.3478	16	87.88
L2_species	mt_50M	Phyllobacterium	10000	0.0274	1	83.71
L2_species	mt_50M	Porphyromonas	5000	0.887	12	94.85000000000001
L2_species	mt_50M	Proteus	9996	0.05822328931572629	1	84.08857142857143
L2_species	mt_50M	Providencia	10000	0.3477	5	88.245
L2_species	mt_50M	Pseudomonas	5000	0.2956	4	84.37
L2_species	mt_50M	Ralstonia	9996	0.14105642256902762	1	86.44285714285715
L2_species	mt_50M	Rothia	5000	0.1742	1	87.33000000000003
L2_species	mt_50M	Sanguibacteroides	5000	0.1186	1	88.14
L2_species	mt_50M	Solobacterium	5000	0.2382	36	91.52
L2_species	mt_50M	Staphylococcus	5000	0.6274	5	94.64
L2_species	mt_50M	Streptococcus	10000	0.3979	21	89.08
L2_species	mt_50M	Subdoligranulum	5000	0.0652	3	87.14
L2_species	mt_50M	Veillonella	9999	0.9272927292729273	22	94.74
L2_species	mt_50M	Weissella	5000	0.066	1	83.79
L2_species	mt_6mer	Achromobacter	9996	0.05042016806722689	1	85.16857142857143
L2_species	mt_6mer	Acidaminococcus	5000	0.4812	7	89.68
L2_species	mt_6mer	Acinetobacter	5000	0.1158	4	82.86
L2_species	mt_6mer	Actinomyces	9999	0.32993299329932996	18	89.50333333333333
L2_species	mt_6mer	Adlercreutzia	5000	0.0	1	93.93
L2_species	mt_6mer	Aeromonas	10000	0.152	1	87.72375
L2_species	mt_6mer	Akkermansia	10000	0.1752	4	83.78
L2_species	mt_6mer	Alistipes	5000	0.3796	38	84.67
L2_species	mt_6mer	Anaerococcus	10000	0.1175	9	87.802
L2_species	mt_6mer	Anaerofustis	5000	0.0144	1	89.73
L2_species	mt_6mer	Anaerostipes	5000	0.0	1	83.5
L2_species	mt_6mer	Bacillus	9996	0.01250500200080032	11	91.65571428571428
L2_species	mt_6mer	Bacteroides	5000	0.55	79	88.98
L2_species	mt_6mer	Barnesiella	5000	0.1426	3	86.26
L2_species	mt_6mer	Blautia	10000	0.3896	46	91.22500000000001
L2_species	mt_6mer	Butyricimonas	5000	0.284	6	94.5
L2_species	mt_6mer	Campylobacter	5000	0.5644	5	94.01
L2_species	mt_6mer	Catenibacterium	5000	0.0756	3	94.27
L2_species	mt_6mer	Citrobacter	9996	0.034013605442176874	3	90.75166666666668
L2_species	mt_6mer	Collinsella	5000	0.8252	349	94.99
L2_species	mt_6mer	Coprococcus	5000	0.1746	6	92.97000000000003
L2_species	mt_6mer	Edwardsiella	9996	0.02701080432172869	2	85.50666666666667
L2_species	mt_6mer	Eggerthella	5000	0.1088	20	89.76
L2_species	mt_6mer	Enterobacter	9996	0.24459783913565425	6	89.63666666666667
L2_species	mt_6mer	Exiguobacterium	10000	0.1507	2	90.035
L2_species	mt_6mer	Faecalibacterium	9999	0.35173517351735173	13	91.87333333333333
L2_species	mt_6mer	Franconibacter	10000	0.0792	1	89.24499999999998
L2_species	mt_6mer	Fusobacterium	9999	0.23562356235623563	26	93.45666666666666
L2_species	mt_6mer	Gemella	5000	0.0006	1	93.46000000000001
L2_species	mt_6mer	Granulicatella	5000	0.0532	3	90.45000000000002
L2_species	mt_6mer	Helicobacter	5000	0.7012	9	82.08
L2_species	mt_6mer	Klebsiella	9999	0.11461146114611462	6	85.99
L2_species	mt_6mer	Lactobacillus	9999	0.47754775477547756	25	86.75333333333336
L2_species	mt_6mer	Leuconostoc	10000	0.0796	3	93.345
L2_species	mt_6mer	Listeria	10000	0.0056	1	87.108
L2_species	mt_6mer	Marvinbryantia	5000	0.001	1	87.41999999999997
L2_species	mt_6mer	Massiliomicrobiota	5000	0.0084	1	87.14
L2_species	mt_6mer	Megasphaera	5000	0.4134	13	90.49
L2_species	mt_6mer	Morganella	5000	0.1986	1	93.73
L2_species	mt_6mer	Neisseria	5000	0.1716	1	93.47000000000003
L2_species	mt_6mer	Oscillibacter	5000	0.3824	15	88.77999999999997
L2_species	mt_6mer	Pantoea	9999	0.25962596259625964	4	88.72666666666666
L2_species	mt_6mer	Parabacteroides	5000	0.139	16	87.88
L2_species	mt_6mer	Phyllobacterium	10000	0.0184	1	83.71
L2_species	mt_6mer	Porphyromonas	5000	0.7564	12	94.85000000000001
L2_species	mt_6mer	Proteus	9996	0.004501800720288115	1	84.08857142857143
L2_species	mt_6mer	Providencia	10000	0.1823	5	88.245
L2_species	mt_6mer	Pseudomonas	5000	0.1992	4	84.37
L2_species	mt_6mer	Ralstonia	9996	0.012605042016806723	1	86.44285714285715
L2_species	mt_6mer	Rothia	5000	0.0166	1	87.33000000000003
L2_species	mt_6mer	Sanguibacteroides	5000	0.0152	1	88.14
L2_species	mt_6mer	Solobacterium	5000	0.2384	36	91.52
L2_species	mt_6mer	Staphylococcus	5000	0.074	5	94.64
L2_species	mt_6mer	Streptococcus	10000	0.3681	21	89.08
L2_species	mt_6mer	Subdoligranulum	5000	0.003	3	87.14
L2_species	mt_6mer	Veillonella	9999	0.5222522252225222	22	94.74
L2_species	mt_6mer	Weissella	5000	0.0008	1	83.79
L2_species	nt_v9	Achromobacter	9996	0.23529411764705882	1	85.16857142857143
L2_species	nt_v9	Acidaminococcus	5000	0.683	7	89.68
L2_species	nt_v9	Acinetobacter	5000	0.3648	4	82.86
L2_species	nt_v9	Actinomyces	9999	0.5558555855585559	18	89.50333333333333
L2_species	nt_v9	Adlercreutzia	5000	0.1236	1	93.93
L2_species	nt_v9	Aeromonas	10000	0.3523	1	87.72375
L2_species	nt_v9	Akkermansia	10000	0.445	4	83.78
L2_species	nt_v9	Alistipes	5000	0.676	38	84.67
L2_species	nt_v9	Anaerococcus	10000	0.4082	9	87.802
L2_species	nt_v9	Anaerofustis	5000	0.2612	1	89.73
L2_species	nt_v9	Anaerostipes	5000	0.0058	1	83.5
L2_species	nt_v9	Bacillus	9996	0.23529411764705882	11	91.65571428571428
L2_species	nt_v9	Bacteroides	5000	0.7446	79	88.98
L2_species	nt_v9	Barnesiella	5000	0.3598	3	86.26
L2_species	nt_v9	Blautia	10000	0.4651	46	91.22500000000001
L2_species	nt_v9	Butyricimonas	5000	0.4898	6	94.5
L2_species	nt_v9	Campylobacter	5000	0.7558	5	94.01
L2_species	nt_v9	Catenibacterium	5000	0.4444	3	94.27
L2_species	nt_v9	Citrobacter	9996	0.1838735494197679	3	90.75166666666668
L2_species	nt_v9	Collinsella	5000	0.945	349	94.99
L2_species	nt_v9	Coprococcus	5000	0.4036	6	92.97000000000003
L2_species	nt_v9	Edwardsiella	9996	0.1136454581832733	2	85.50666666666667
L2_species	nt_v9	Eggerthella	5000	0.2578	20	89.76
L2_species	nt_v9	Enterobacter	9996	0.3910564225690276	6	89.63666666666667
L2_species	nt_v9	Exiguobacterium	10000	0.5807	2	90.035
L2_species	nt_v9	Faecalibacterium	9999	0.5007500750075008	13	91.87333333333333
L2_species	nt_v9	Franconibacter	10000	0.1575	1	89.24499999999998
L2_species	nt_v9	Fusobacterium	9999	0.41054105410541053	26	93.45666666666666
L2_species	nt_v9	Gemella	5000	0.0158	1	93.46000000000001
L2_species	nt_v9	Granulicatella	5000	0.2568	3	90.45000000000002
L2_species	nt_v9	Helicobacter	5000	0.6926	9	82.08
L2_species	nt_v9	Klebsiella	9999	0.3432343234323432	6	85.99
L2_species	nt_v9	Lactobacillus	9999	0.6061606160616062	25	86.75333333333336
L2_species	nt_v9	Leuconostoc	10000	0.2178	3	93.345
L2_species	nt_v9	Listeria	10000	0.1191	1	87.108
L2_species	nt_v9	Marvinbryantia	5000	0.0718	1	87.41999999999997
L2_species	nt_v9	Massiliomicrobiota	5000	0.142	1	87.14
L2_species	nt_v9	Megasphaera	5000	0.6938	13	90.49
L2_species	nt_v9	Morganella	5000	0.497	1	93.73
L2_species	nt_v9	Neisseria	5000	0.5004	1	93.47000000000003
L2_species	nt_v9	Oscillibacter	5000	0.6128	15	88.77999999999997
L2_species	nt_v9	Pantoea	9999	0.37373737373737376	4	88.72666666666666
L2_species	nt_v9	Parabacteroides	5000	0.2762	16	87.88
L2_species	nt_v9	Phyllobacterium	10000	0.114	1	83.71
L2_species	nt_v9	Porphyromonas	5000	0.8476	12	94.85000000000001
L2_species	nt_v9	Proteus	9996	0.0743297318927571	1	84.08857142857143
L2_species	nt_v9	Providencia	10000	0.4442	5	88.245
L2_species	nt_v9	Pseudomonas	5000	0.438	4	84.37
L2_species	nt_v9	Ralstonia	9996	0.13115246098439376	1	86.44285714285715
L2_species	nt_v9	Rothia	5000	0.234	1	87.33000000000003
L2_species	nt_v9	Sanguibacteroides	5000	0.069	1	88.14
L2_species	nt_v9	Solobacterium	5000	0.3944	36	91.52
L2_species	nt_v9	Staphylococcus	5000	0.3552	5	94.64
L2_species	nt_v9	Streptococcus	10000	0.6158	21	89.08
L2_species	nt_v9	Subdoligranulum	5000	0.0406	3	87.14
L2_species	nt_v9	Veillonella	9999	0.7683768376837684	22	94.74
L2_species	nt_v9	Weissella	5000	0.0608	1	83.79
L2_species	kraken2	Achromobacter	9996	0.22939175670268108	1	85.16857142857143
L2_species	kraken2	Acidaminococcus	5000	0.5796	7	89.68
L2_species	kraken2	Acinetobacter	5000	0.1462	4	82.86
L2_species	kraken2	Actinomyces	9999	0.46724672467246725	18	89.50333333333333
L2_species	kraken2	Adlercreutzia	5000	0.5722	1	93.93
L2_species	kraken2	Aeromonas	10000	0.3474	1	87.72375
L2_species	kraken2	Akkermansia	10000	0.1953	4	83.78
L2_species	kraken2	Alistipes	5000	0.316	38	84.67
L2_species	kraken2	Anaerococcus	10000	0.3702	9	87.802
L2_species	kraken2	Anaerofustis	5000	0.4506	1	89.73
L2_species	kraken2	Anaerostipes	5000	0.1128	1	83.5
L2_species	kraken2	Bacillus	9996	0.5910364145658263	11	91.65571428571428
L2_species	kraken2	Bacteroides	5000	0.4306	79	88.98
L2_species	kraken2	Barnesiella	5000	0.2196	3	86.26
L2_species	kraken2	Blautia	10000	0.5236	46	91.22500000000001
L2_species	kraken2	Butyricimonas	5000	0.6664	6	94.5
L2_species	kraken2	Campylobacter	5000	0.7042	5	94.01
L2_species	kraken2	Catenibacterium	5000	0.7308	3	94.27
L2_species	kraken2	Citrobacter	9996	0.5126050420168067	3	90.75166666666668
L2_species	kraken2	Collinsella	5000	0.1816	349	94.99
L2_species	kraken2	Coprococcus	5000	0.5058	6	92.97000000000003
L2_species	kraken2	Edwardsiella	9996	0.2075830332132853	2	85.50666666666667
L2_species	kraken2	Eggerthella	5000	0.3596	20	89.76
L2_species	kraken2	Enterobacter	9996	0.5221088435374149	6	89.63666666666667
L2_species	kraken2	Exiguobacterium	10000	0.4741	2	90.035
L2_species	kraken2	Faecalibacterium	9999	0.5226522652265226	13	91.87333333333333
L2_species	kraken2	Franconibacter	10000	0.2299	1	89.24499999999998
L2_species	kraken2	Fusobacterium	9999	0.8133813381338134	26	93.45666666666666
L2_species	kraken2	Gemella	5000	0.4352	1	93.46000000000001
L2_species	kraken2	Granulicatella	5000	0.3486	3	90.45000000000002
L2_species	kraken2	Helicobacter	5000	0.145	9	82.08
L2_species	kraken2	Klebsiella	9999	0.25552555255525555	6	85.99
L2_species	kraken2	Lactobacillus	9999	0.33933393339333934	25	86.75333333333336
L2_species	kraken2	Leuconostoc	10000	0.6423	3	93.345
L2_species	kraken2	Listeria	10000	0.3095	1	87.108
L2_species	kraken2	Marvinbryantia	5000	0.2098	1	87.41999999999997
L2_species	kraken2	Massiliomicrobiota	5000	0.2084	1	87.14
L2_species	kraken2	Megasphaera	5000	0.6256	13	90.49
L2_species	kraken2	Morganella	5000	0.675	1	93.73
L2_species	kraken2	Neisseria	5000	0.7094	1	93.47000000000003
L2_species	kraken2	Oscillibacter	5000	0.325	15	88.77999999999997
L2_species	kraken2	Pantoea	9999	0.35913591359135916	4	88.72666666666666
L2_species	kraken2	Parabacteroides	5000	0.408	16	87.88
L2_species	kraken2	Phyllobacterium	10000	0.1521	1	83.71
L2_species	kraken2	Porphyromonas	5000	0.7822	12	94.85000000000001
L2_species	kraken2	Proteus	9996	0.1715686274509804	1	84.08857142857143
L2_species	kraken2	Providencia	10000	0.424	5	88.245
L2_species	kraken2	Pseudomonas	5000	0.2034	4	84.37
L2_species	kraken2	Ralstonia	9996	0.27090836334533813	1	86.44285714285715
L2_species	kraken2	Rothia	5000	0.3026	1	87.33000000000003
L2_species	kraken2	Sanguibacteroides	5000	0.3858	1	88.14
L2_species	kraken2	Solobacterium	5000	0.2886	36	91.52
L2_species	kraken2	Staphylococcus	5000	0.8372	5	94.64
L2_species	kraken2	Streptococcus	10000	0.4156	21	89.08
L2_species	kraken2	Subdoligranulum	5000	0.2184	3	87.14
L2_species	kraken2	Veillonella	9999	0.6765676567656765	22	94.74
L2_species	kraken2	Weissella	5000	0.1874	1	83.79
L2_species	nb_13mer	Achromobacter	502	0.01195219123505976	1	85.2108764940239
L2_species	nb_13mer	Acidaminococcus	268	0.5708955223880597	7	89.68000000000002
L2_species	nb_13mer	Acinetobacter	245	0.1469387755102041	4	82.86
L2_species	nb_13mer	Actinomyces	487	0.3490759753593429	18	89.54227926078029
L2_species	nb_13mer	Adlercreutzia	221	0.12669683257918551	1	93.93000000000002
L2_species	nb_13mer	Aeromonas	495	0.04242424242424243	1	87.71612121212121
L2_species	nb_13mer	Akkermansia	491	0.0855397148676171	4	83.82334012219958
L2_species	nb_13mer	Alistipes	251	0.7051792828685259	38	84.66999999999999
L2_species	nb_13mer	Anaerococcus	496	0.21975806451612903	9	88.06008064516129
L2_species	nb_13mer	Anaerofustis	240	0.0875	1	89.73
L2_species	nb_13mer	Anaerostipes	259	0.007722007722007722	1	83.5
L2_species	nb_13mer	Bacillus	482	0.12655601659751037	11	91.63678423236514
L2_species	nb_13mer	Bacteroides	226	0.6150442477876106	79	88.98
L2_species	nb_13mer	Barnesiella	260	0.1423076923076923	3	86.26
L2_species	nb_13mer	Blautia	490	0.6448979591836734	46	91.33255102040816
L2_species	nb_13mer	Butyricimonas	245	0.5102040816326531	6	94.5
L2_species	nb_13mer	Campylobacter	262	0.6908396946564885	5	94.01
L2_species	nb_13mer	Catenibacterium	237	0.5274261603375527	3	94.27000000000001
L2_species	nb_13mer	Citrobacter	509	0.32220039292730845	3	90.80532416502948
L2_species	nb_13mer	Collinsella	270	0.8962962962962963	349	94.98999999999998
L2_species	nb_13mer	Coprococcus	245	0.40408163265306124	6	92.97
L2_species	nb_13mer	Edwardsiella	469	0.046908315565031986	2	85.48375266524518
L2_species	nb_13mer	Eggerthella	239	0.04184100418410042	20	89.76000000000002
L2_species	nb_13mer	Enterobacter	485	0.4865979381443299	6	89.67626804123711
L2_species	nb_13mer	Exiguobacterium	506	0.25889328063241107	2	90.01541501976284
L2_species	nb_13mer	Faecalibacterium	490	0.6612244897959184	13	91.94804081632651
L2_species	nb_13mer	Franconibacter	453	0.04415011037527594	1	89.24185430463572
L2_species	nb_13mer	Fusobacterium	507	0.757396449704142	26	93.45374753451676
L2_species	nb_13mer	Gemella	261	0.08045977011494253	1	93.46000000000002
L2_species	nb_13mer	Granulicatella	254	0.3110236220472441	3	90.45000000000002
L2_species	nb_13mer	Helicobacter	249	0.6385542168674698	9	82.08
L2_species	nb_13mer	Klebsiella	480	0.36041666666666666	6	86.18208333333335
L2_species	nb_13mer	Lactobacillus	489	0.46830265848670755	25	86.7475255623722
L2_species	nb_13mer	Leuconostoc	486	0.39300411522633744	3	93.4077160493827
L2_species	nb_13mer	Listeria	493	0.06288032454361055	1	87.00350912778906
L2_species	nb_13mer	Marvinbryantia	241	0.024896265560165973	1	87.42
L2_species	nb_13mer	Massiliomicrobiota	259	0.0	1	87.14000000000001
L2_species	nb_13mer	Megasphaera	235	0.6595744680851063	13	90.49
L2_species	nb_13mer	Morganella	213	0.19248826291079812	1	93.72999999999999
L2_species	nb_13mer	Neisseria	260	0.3153846153846154	1	93.47000000000001
L2_species	nb_13mer	Oscillibacter	251	0.6334661354581673	15	88.77999999999999
L2_species	nb_13mer	Pantoea	492	0.34959349593495936	4	88.44158536585365
L2_species	nb_13mer	Parabacteroides	261	0.29118773946360155	16	87.88000000000001
L2_species	nb_13mer	Phyllobacterium	476	0.029411764705882353	1	83.72210084033615
L2_species	nb_13mer	Porphyromonas	231	0.8917748917748918	12	94.85
L2_species	nb_13mer	Proteus	454	0.05286343612334802	1	84.07248898678414
L2_species	nb_13mer	Providencia	469	0.32409381663113007	5	88.34347547974413
L2_species	nb_13mer	Pseudomonas	249	0.06827309236947791	4	84.36999999999999
L2_species	nb_13mer	Ralstonia	467	0.014989293361884369	1	86.48089935760171
L2_species	nb_13mer	Rothia	218	0.14678899082568808	1	87.33000000000001
L2_species	nb_13mer	Sanguibacteroides	240	0.09583333333333334	1	88.14000000000003
L2_species	nb_13mer	Solobacterium	232	0.3922413793103448	36	91.52
L2_species	nb_13mer	Staphylococcus	258	0.4883720930232558	5	94.64000000000001
L2_species	nb_13mer	Streptococcus	484	0.45454545454545453	21	89.2689256198347
L2_species	nb_13mer	Subdoligranulum	225	0.017777777777777778	3	87.14000000000001
L2_species	nb_13mer	Veillonella	505	0.8772277227722772	22	94.72966336633664
L2_species	nb_13mer	Weissella	238	0.07563025210084033	1	83.79000000000002
L2_species	nb_6mer	Achromobacter	502	0.38247011952191234	1	85.2108764940239
L2_species	nb_6mer	Acidaminococcus	268	0.5111940298507462	7	89.68000000000002
L2_species	nb_6mer	Acinetobacter	245	0.22448979591836735	4	82.86
L2_species	nb_6mer	Actinomyces	487	0.018480492813141684	18	89.54227926078029
L2_species	nb_6mer	Adlercreutzia	221	0.2171945701357466	1	93.93000000000002
L2_species	nb_6mer	Aeromonas	495	0.3191919191919192	1	87.71612121212121
L2_species	nb_6mer	Akkermansia	491	0.23217922606924643	4	83.82334012219958
