epoch,train_loss,train_acc,val_loss,val_acc
1,2.031734,0.481413,1.632834,0.552725
2,1.545729,0.574008,1.486442,0.588236
3,1.498714,0.585853,1.445181,0.598432
4,1.468610,0.593531,1.414848,0.606070
5,1.440838,0.600016,1.392224,0.612025
6,1.419797,0.605565,1.373201,0.616566
7,1.404800,0.609389,1.359061,0.620316
8,1.389231,0.613241,1.345296,0.623911
9,1.379283,0.615863,1.335255,0.626429
10,1.367850,0.618720,1.326663,0.628286
11,1.360008,0.620805,1.317184,0.631147
12,1.352302,0.622735,1.309521,0.633068
13,1.345537,0.624275,1.304074,0.634584
14,1.340851,0.625386,1.299845,0.635608
15,1.334580,0.626720,1.295008,0.637053
16,1.333838,0.627278,1.291152,0.637973
17,1.327129,0.628979,1.288171,0.638852
18,1.323817,0.629795,1.284821,0.639495
19,1.321968,0.630279,1.283662,0.639595
20,1.319877,0.631253,1.282193,0.640066
21,1.319137,0.631029,1.280642,0.640597
22,1.319773,0.630874,1.279858,0.640736
23,1.317933,0.631560,1.279315,0.640936
24,1.317268,0.631779,1.279149,0.640974
25,1.318273,0.631406,1.279179,0.640932
