mock,arm,pearson,spearman,bray_curtis,n_genera,pearson_lo,pearson_hi
d6331_rep1,"KmerFormer 6-mer, 1 layer",0.34519228724983836,0.1859252049028905,0.48384099760383986,11,-0.477950368481543,0.7974487319804459
d6331_rep1,"KmerFormer 6-mer, 8 layers",0.28114752044763314,0.25743489909630995,0.3898761029825924,11,-0.47254009748024284,0.8698776580917874
d6331_rep1,"KmerFormer 6-mer, 16 layers",0.4258938340983692,0.33847921918218526,0.34883763002955925,11,-0.3065074829088149,0.8908929272099458
d6331_rep1,"KmerFormer 6-mer, 29 layers",0.3926176706146755,0.40045428748314876,0.37787020714894737,11,-0.34758589976167514,0.8772699209189959
d6331_rep1,"KmerFormer 13-mer exact, 16 l.",0.49992513346851597,0.4290581651605165,0.3337612282885716,11,-0.27564524953377145,0.9170224956437542
d6331_rep1,"KmerFormer 13-mer hashed d128, 1 l.",0.41768677452762,0.4290581651605165,0.3446650583460763,11,-0.3799761865620952,0.9122122027465119
d6331_rep1,"KmerFormer 13-mer hashed d128, 16 l.",0.4121027621153043,0.3909196615906929,0.3454353655258127,11,-0.3753056073110043,0.9110050283294479
d6331_rep1,"KmerFormer 13-mer hashed d64, 16 l.",0.28314386951864384,0.3098753415048175,0.3622654793511189,11,-0.4736645022660963,0.9025457783985241
d6331_rep1,MetaTransformer 13-mer,0.5453745728723823,0.4385927910529725,0.3439701426834951,11,-0.17986346316049012,0.9099033315420348
d6331_rep1,MetaTransformer 6-mer,0.06465893897766778,0.20022714374157438,0.40917527528709724,11,-0.5688705266912563,0.8604084035559016
d6331_rep1,NT-v2 500M + LoRA,0.4202792913207564,0.33847921918218526,0.37636994714367433,11,-0.3610415112000196,0.8768765379218543
d6331_rep1,Kraken 2 + Bracken,0.5796847989859611,0.5720775535473553,0.4367367914631495,11,-0.11479014198754371,0.8928989626178669
d6331_rep2,"KmerFormer 6-mer, 8 layers",0.26423082989823843,0.25743489909630995,0.40582164476182486,11,-0.4721714794505563,0.8572079958126667
d6331_rep2,"KmerFormer 6-mer, 16 layers",0.4074409583215293,0.33847921918218526,0.3655028476437422,11,-0.33402282255969074,0.8806897329725469
d6331_rep2,"KmerFormer 6-mer, 29 layers",0.3745761060120873,0.40045428748314876,0.3938912481935071,11,-0.36176286700728877,0.863880738661176
